Ligand_ID,Target,Affinity
compound_37340213_3d,Interface,-8.1
compound_132431733_3d,Interface,-8.1
compound_16947356_3d,Interface,-8.1
compound_49703607_3d,Interface,-8.1
CHEMBL2103879,Interface,-8.1
ml184_similar_55407291,Interface,-8.1
compound_69881963_3d,Interface,-8.1
ml184_similar_16021488,Interface,-8.1
compound_137280312_3d,Interface,-8.1
compound_75833914_3d,Interface,-8.1
compound_127412137_3d,Interface,-8.1
compound_4423495_3d,P3,-8.1
compound_99526210_3d,P3,-8.1
CHEMBL2106252,P3,-8.1
compound_75587581_3d,Interface,-8.1
ml184_similar_37262508,Interface,-8.1
compound_131703501_3d,Interface,-8.0
compound_18933789_3d,Interface,-8.0
compound_118697556_3d,Interface,-8.0
compound_110608808_3d,Interface,-8.0
compound_60064845_3d,Interface,-8.0
compound_26904478_3d,Interface,-8.0
CHEMBL1783937,Interface,-8.0
compound_35932355_3d,P3,-8.0
compound_73952742_3d,Interface,-8.0
CHEMBL5095073,P3,-8.0
CHEMBL278519,P3,-8.0
compound_139496505_3d,P3,-8.0
compound_147997145_3d,P3,-8.0
compound_68565248_3d,Interface,-8.0
CHEMBL464379,Interface,-8.0
compound_78404749_3d,Interface,-8.0
compound_90681661_3d,Interface,-8.0
compound_11545456_3d,Interface,-8.0
compound_97825854_3d,Interface,-8.0
compound_1037776_3d,Interface,-8.0
compound_23885503_3d,Interface,-8.0
compound_6838840_3d,Interface,-8.0
CHEMBL1164757,Interface,-8.0
compound_22907368_3d,Interface,-8.0
compound_137869853_3d,Interface,-8.0
compound_126785874_3d,Interface,-8.0
compound_7502956_3d,P3,-8.0
CHEMBL514404,Interface,-8.0
compound_90652701_3d,Interface,-8.0
compound_16947356_3d,P3,-7.9
compound_66497962_3d,P3,-7.9
compound_55865405_3d,Interface,-7.9
compound_22643709_3d,P3,-7.9
CHEMBL2104980,Interface,-7.9
compound_145822060_3d,P3,-7.8
compound_40577275_3d,P3,-7.8
compound_33029366_3d,P3,-7.8
compound_37065069_3d,Interface,-7.8
compound_48925042_3d,Interface,-7.8
compound_25894666_3d,P3,-7.8
compound_97156478_3d,P3,-7.8
compound_58550085_3d,P3,-7.8
CHEMBL93747,P3,-7.8
compound_56739541_3d,Interface,-7.7
compound_108543007_3d,P3,-7.7
